"CEREAL","BAKEPROD","MEATS","DAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","DRUGSUPP","HOUSKEEP","AGE_REF","BLS_URBN","FAM_SIZE","FAM_TYPE","RACE_REF","HISP_REF"
0,3.14,141.5,6.76,11.05,10.81,0,17.2,3.86,12.12,8.35,10.63,0,0,40.6,9.39,0,35.78,49,1,3,2,4,2
15.6,17.49,74.18,6.53,6.26,8.51,6.71014,8.71986,0,30.53,0,0,0,2.91,0,0,0,27.63266,49,1,3,2,4,2
2.06,17.07109,6.28,10.40816,11.8,6.09728,0,3.83512,3.75993,4.33441,11.26271,19.4313,0,0,0,1.09,0,31.01,20,1,5,5,1,1
3.63,2.95,28.69,4.6,16.7,13.52,7.71,1.76,0,19.78,0,15.72,0,0,0,3.64,0,0,20,1,5,5,1,1
18.84,6.25,4.87798,12.19773,11.87647,7.13202,13.22153,0,1.57,11.02197,6.24,2.77231,0,0,0,20.79,18.58,13.54,88,1,3,2,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,3,2,6,2
6.98,10,4.75,13.46,19.41,2.99,0,0,0,5.61,0,45.36,28.61,0,0,13.65,0,28.06,42,1,2,3,1,2
0,3.5,3.69,14.66,7.87,2.5,0,0,11.07,0,0,0,24.72,0,0,16.18,0,59.09389,42,1,2,3,1,2
2.5,15.97,18.41,11.45,0,0,3.5,0,3.69,0,0,8.79,43.67,0,0,0,659.3,5.71,47,1,1,4,1,2
0,35.99,3.2584,2.99,0,0,0,0,2.19,0,0,2.2516,0,0,58.99,0,0,0,47,1,1,4,1,2
0,6.03,28.7,8.37,1.89,1.69,7.5,2.5,3.3,0,7.48,5.48,14.99,0,0,0,22.2412,12.31,88,2,1,4,1,2
0,0.99,0,4.97,0,4.75,0,2,0,0,0,0,0,0,0,0,0,0,88,2,1,4,1,2
0,9.6,33.67,18.54,8.51,2.36,0,0,1.94,2.86,5.14,45.78,0,0,0,0,0,42.68,68,1,2,1,1,2
11.35,4.76,14.24,12.17,12.49,5.48,0,0,0,10.66,10.28,16.99,0,0,0,6.19,0,10.63,68,1,2,1,1,2
0,8.87,0,3,7.88,5.64,0,0,0,5.35,0,38.97,0,0,19.14,0,0,0,21,1,1,4,1,1
0,12.6,3.67,9.56,0.9,0,0,0,0,0,0,18.8,0,0,5.88575,18.40463,7.49462,12.6354,21,1,1,4,1,1
0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,19,1,1,4,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,4,1,2
24.86,19.8,36.11,14.32,18.51,21.39,5.05,2.53,0,10.37,0,41.11,22.69,0,0,0,0,2.14,57,1,2,1,1,2
0,0,11.12,2.82,0,0,0,0,0,0,0,47.1,0,0,0,0,16.99,12.98,57,1,2,1,1,2
0,5.09,0,4.88,0,0,0,0,0,4.07,0,2.03,0,0,0,0,0,0,26,1,1,4,1,2
0,0,0,0,0,8.66,0,0,1.88,0,3.05,0,0,0,0,8.43,0,0,26,1,1,4,1,2
0,5.32,30.69,7.61,0,0,1.57,5.6,0,0,3.03,1.52,21.86,38.22,9.08,0,0,12.57,59,1,1,4,6,2
0,2.02,21.64,4.05,0.8,0,1.57,1.02,0,0,0,4.05,0,0,0,0,0,0,59,1,1,4,6,2
0,14.8,18.55,20.16,4.96,1.99,3.79,3.96,11.67,10.88,10.03,49.17,13.05,0,0,9.32,6.90132,27.14,65,1,1,4,1,1
0,12.53,5.19,3.99,1.5,0,0,3.65,5.47,0,6,18.7,0,0,0,0,3.48,0,65,1,1,4,1,1
0,6.11,59.53785,29.09151,8.14031,28.91,6.32081,4.29304,0,9.24243,0,59.99406,0,38.43,0,9.48,0,11.58,49,1,5,2,1,2
0,6.93,13.3,18.4,4.09,4.13,0,0,0,8.18,0,5.9,0,8.78,0,22.3,0,27.38,49,1,5,2,1,2
0,3.59,44.04,18.16,12.73,2.69,0,0,0,0,0,39.18,0,0,0,0,0,0,66,1,1,4,1,2
1.72,5,84.72,10.33,12.37,12,0,0,0,31.41,0,4.4,0,88.71,0,0,0,63.59,66,1,1,4,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,4,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,30.18937,13.15,0,0,0,0,41,1,4,2,1,2
0,0,5.37958,23.22724,3.22995,4.985,0,0,0,4.46086,0,3.71738,0,0,0,0,0,0,69,2,2,1,1,2
3.51974,3.45858,10.13329,15.66807,0,5.67581,3.65144,4.10084,3.04453,3.52881,0,19.21888,5.16814,0,0,21.39999,20,21.4,69,2,2,1,1,2
2.28,3.06,0,9.58,1.98,0,0,0,0,12.02,0,16.51,0,0,0,0,3.53,0,52,1,1,4,1,2
0,12.16,7.53,11.81,6.38,0,0,0,8.18,7.32,3.94,13.61,0,0,0,0,0,4.76,52,1,1,4,1,2
5.78,10.26324,21.26,7.87,1.54,2.29,8.19759,4.28241,0,29.31676,6.98,35.83,19.47,0,0,14.38,7.49,15.68,64,1,2,1,1,2
3.98,7.88,7.49,7.58,11.7,3.32,3.69759,10.25241,3.49,0,7.96,40.94,0,0,0,0,0,8.66,64,1,2,1,1,2
2,12.26,35.8,18.96,22.79,14.04,3.63027,6.34973,3,2.15,6.98,24.39,0,0,34.99,2.18,25.97,5.22,57,1,2,1,1,2
